Schoolid,School_Name,medium,Latitude,Longitude,shift,low_class,High_class,Z_ID,Zone_Name,D_ID,District_name,SchManagement,SchCategory,typeOfSchool
1924116,East Nizamuddin-G. A. Quetta D. A. V. Sr. Sec. School,English,28.586567,77.25224828,Morning,6,12,2225,Zone-25,22,South East,Aided,Senior Secondary Schools,Co-ed
1924117,East Nizamuddin-Satyavati Sood Arya Girls Sr. Sec. School,Urdu,28.586567,77.25224828,Morning,6,12,2225,Zone-25,22,South East,Aided,Senior Secondary Schools,Girls
1924118,"East of Kailash, Block-3-Chander Arya Vidya Mandir",Urdu,28.55657066,77.25665748,Morning,6,12,2225,Zone-25,22,South East,Aided,Senior Secondary Schools,Girls
1924119,Lodhi Road-D. C. Arya Sr. Sec. School,Urdu,28.58889606,77.22433714,Morning,6,12,2225,Zone-25,22,South East,Aided,Senior Secondary Schools,Boys
1924120,Ali Ganj-S. G. T. B. Khalsa Girls Sr. Sec. Schoool,Urdu,28.58149371,77.21806774,Morning,6,12,2225,Zone-25,22,South East,Aided,Senior Secondary Schools,Boys
1924214,Govt. Girls Senior Secondary School,Urdu,28.501183,77.238758,Morning,6,12,1924,Zone-24,19,South,Government,Senior Secondary Schools,Girls
1924215,Govt. Boys Senior Secondary School,Urdu,,,Evening,6,12,1924,Zone-24,19,South,Government,Senior Secondary Schools,Girls
1925002,Noor Nagar- SBV,Urdu,28.55864885,77.28779443,Evening,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Girls
1925003,Chirag Enclave-S(Co-ed)V (Kautilya),Urdu,28.54768245,77.24503076,General,Nursery,12,2225,Zone-25,22,South East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1925005,New Friends Colony-GBSSS (Chander Shekhar Azad),Urdu,28.56293737,77.27296845,Evening,6,12,2225,Zone-25,22,South East,Government,Senior Secondary Schools,Girls
1925006,Madanpur Khadar- GBSSS (Rama Krishna),Urdu,28.52938126,77.28886567,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925007,Tuglakabad Extn.-SBV (Sardar Vallabhbhai Patel),Urdu,28.5242112,77.26243595,Evening,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
1925015,"Badarpur, No.1-GBSSS",Urdu,28.50743202,77.29915774,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925017,"Tuglakabad, Railway Colony- SBV",Urdu,28.50672503,77.28941205,Evening,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Boys
