state_name,state_code,district_name,district_code,number_of_schools,number_of_teachers,students_surveyed,learning_outcome_code,performance,subject,grade,learning_outcome,latitude,longitude
Delhi,10,North East,741,53,196,659,SCI811,40.28005121,Sci,Grade 8,Applies learning of scientific concepts in day-to-day life,28.7133,77.257
Delhi,10,North West A,82,57,219,746,SCI811,45.78809893,Sci,Grade 8,Applies learning of scientific concepts in day-to-day life,28.7186,77.0685
Delhi,10,North West B,742,57,219,750,SCI811,48.97139784,Sci,Grade 8,Applies learning of scientific concepts in day-to-day life,28.7373,77.091
Delhi,10,South,743,57,274,649,SCI1008,41.9709422,Sci,Grade 10,Applies learning to hypothetical situations,28.5436,77.2706
Delhi,10,South East,744,70,349,767,SCI1008,37.32128096,Sci,Grade 10,Applies learning to hypothetical situations,28.563,77.2611
Delhi,10,New Delhi,79,57,275,658,SCI1008,45.91975716,Sci,Grade 10,Applies learning to hypothetical situations,28.5669,77.1295
Delhi,10,South West A,84,72,349,791,SCI1008,45.30753151,Sci,Grade 10,Applies learning to hypothetical situations,28.5929,77.0346
Delhi,10,South West B,745,62,308,718,SCI1008,42.8820365,Sci,Grade 10,Applies learning to hypothetical situations,28.6122,76.9865
Delhi,10,East,740,67,329,794,SCI1008,42.90031568,Sci,Grade 10,Applies learning to hypothetical situations,28.6146,77.2959
Delhi,10,West B,746,66,322,721,SCI1008,41.07060735,Sci,Grade 10,Applies learning to hypothetical situations,28.6196,77.0881
Delhi,10,West A,85,67,329,757,SCI1008,37.6498974,Sci,Grade 10,Applies learning to hypothetical situations,28.6246,77.2987
Delhi,10,North,80,76,371,840,SCI1008,39.78363399,Sci,Grade 10,Applies learning to hypothetical situations,28.6859,77.2148
Delhi,10,Central,77,71,358,803,SCI1008,41.80846463,Sci,Grade 10,Applies learning to hypothetical situations,28.6859,77.2148
Delhi,10,North East,741,60,276,643,SCI1008,37.52113815,Sci,Grade 10,Applies learning to hypothetical situations,28.7133,77.257
Delhi,10,North West A,82,66,320,723,SCI1008,38.40831797,Sci,Grade 10,Applies learning to hypothetical situations,28.7186,77.0685
Delhi,10,North West B,742,66,323,760,SCI1008,40.94199228,Sci,Grade 10,Applies learning to hypothetical situations,28.7373,77.091
Delhi,10,South,743,30,75,698,M401,39.72186357,Math,Grade 5,Applies operations of numbers in daily life situations,28.5436,77.2706
Delhi,10,South East,744,34,98,756,M401,37.9990007,Math,Grade 5,Applies operations of numbers in daily life situations,28.563,77.2611
Delhi,10,New Delhi,79,34,98,899,M401,45.04828903,Math,Grade 5,Applies operations of numbers in daily life situations,28.5669,77.1295
Delhi,10,South West A,84,41,115,1099,M401,43.83612029,Math,Grade 5,Applies operations of numbers in daily life situations,28.5929,77.0346
Delhi,10,South West B,745,27,77,737,M401,38.03743247,Math,Grade 5,Applies operations of numbers in daily life situations,28.6122,76.9865
Delhi,10,East,740,34,93,941,M401,35.90387327,Math,Grade 5,Applies operations of numbers in daily life situations,28.6146,77.2959
Delhi,10,West B,746,28,89,746,M401,37.64921873,Math,Grade 5,Applies operations of numbers in daily life situations,28.6196,77.0881
Delhi,10,West A,85,30,85,781,M401,39.91552328,Math,Grade 5,Applies operations of numbers in daily life situations,28.6246,77.2987
Delhi,10,North,80,31,94,772,M401,31.93604209,Math,Grade 5,Applies operations of numbers in daily life situations,28.6859,77.2148
Delhi,10,Central,77,30,82,689,M401,39.45840962,Math,Grade 5,Applies operations of numbers in daily life situations,28.6859,77.2148
Delhi,10,North East,741,28,66,674,M401,31.01471613,Math,Grade 5,Applies operations of numbers in daily life situations,28.7133,77.257
Delhi,10,North West A,82,28,71,711,M401,35.30587819,Math,Grade 5,Applies operations of numbers in daily life situations,28.7186,77.0685
Delhi,10,North West B,742,31,85,856,M401,37.13986257,Math,Grade 5,Applies operations of numbers in daily life situations,28.7373,77.091
Delhi,10,South,743,57,274,649,SCI1009,42.0166951,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.5436,77.2706
Delhi,10,South East,744,70,349,767,SCI1009,39.48813191,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.563,77.2611
Delhi,10,New Delhi,79,57,275,658,SCI1009,47.20704039,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.5669,77.1295
Delhi,10,South West A,84,72,349,791,SCI1009,44.23820959,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.5929,77.0346
Delhi,10,South West B,745,62,308,718,SCI1009,42.55745423,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.6122,76.9865
Delhi,10,East,740,67,329,794,SCI1009,43.79929437,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.6146,77.2959
Delhi,10,West B,746,66,322,721,SCI1009,39.9304764,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.6196,77.0881
Delhi,10,West A,85,67,329,757,SCI1009,36.76175157,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.6246,77.2987
Delhi,10,North,80,76,371,840,SCI1009,42.3745408,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.6859,77.2148
Delhi,10,Central,77,71,358,803,SCI1009,43.79012125,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.6859,77.2148
Delhi,10,North East,741,60,276,643,SCI1009,38.67615673,Sci,Grade 10,Applies scientific concepts in daily life and solving problems,28.7133,77.257
