_id,Schoolid,School_Name,medium,Latitude,Longitude,shift,low_class,High_class,Z_ID,Zone_Name,D_ID,District_name,SchManagement,SchCategory,createdAt,updatedAt,__v,typeOfSchool,stream,minority,affiliation
6530f4cdbc3009aaa5bda763,1002002,Patparganj-SBV (Genda Lal Dixit),N/A,28.6140064,77.29089993,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.812Z,2023-10-19T09:20:13.812Z,0,Boys,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda765,1002003,Kalyanvas-SBV (Raj Bihari Bose),N/A,28.61979034,77.30922361,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.815Z,2023-10-19T09:20:13.815Z,0,Boys,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda767,1002004,"Shakarpur, No.2-SBV (Ishwar Chand)",N/A,28.63436138,77.28478859,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.816Z,2023-10-19T09:20:13.816Z,0,Boys,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda769,1002005,West Vinod Nagar-SBV,N/A,28.62164984,77.29751809,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.819Z,2023-10-19T09:20:13.819Z,0,Boys,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda76b,1002006,"Mayur Vihar, Phase I, Pkt. II-SBV (Prem Chand)",N/A,28.60989819,77.30251337,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.820Z,2023-10-19T09:20:13.820Z,0,Boys,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda76d,1002007,East Vinod Nagar-SBV (Jai Prakash Narayan),N/A,28.62107819,77.30543587,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.826Z,2023-10-19T09:20:13.826Z,0,Boys,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda76f,1002008,Kalyanpuri-SBV,N/A,28.61450553,77.31928826,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.827Z,2023-10-19T09:20:13.827Z,0,Girls,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda771,1002010,"Trilokpuri, Block 20-SBV",N/A,28.60453808,77.30613999,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.829Z,2023-10-19T09:20:13.829Z,0,Girls,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda773,1002012,Khichripur-GBSSS,N/A,28.61803404,77.31468874,Evening,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.832Z,2023-10-19T09:20:13.832Z,0,Girls,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda775,1002013,Dallupura-SBV,N/A,28.60886386,77.32138046,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.834Z,2023-10-19T09:20:13.834Z,0,Girls,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda777,1002014,New Kondli-GBSSS,N/A,28.60406299,77.33311721,Evening,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.837Z,2023-10-19T09:20:13.837Z,0,Girls,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda779,1002015,"Mayur Vihar, Phase II, Pkt.B-SBV",N/A,28.61763887,77.30299167,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.840Z,2023-10-19T09:20:13.840Z,0,Girls,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda77b,1002016,"Mayur Vihar, Phase I, Pkt.IV-SBV(Shaheed Capt.Hanifuddin)",N/A,28.60273634,77.29427713,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.846Z,2023-10-19T09:20:13.846Z,0,Girls,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda77d,1002020,Kalyanpuri -GBSSS,N/A,28.61405624,77.31906206,Evening,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.847Z,2023-10-19T09:20:13.847Z,0,Girls,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda77f,1002022,Kalyanpuri-SKV (Mother Teresa),N/A,28.61419536,77.31912454,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.849Z,2023-10-19T09:20:13.849Z,0,Girls,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda781,1002023,Mandawali-SKV No. 2,N/A,28.63096971,77.29777861,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.851Z,2023-10-19T09:20:13.851Z,0,Girls,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda783,1002024,"Trilokpuri, Block 27-SKV",N/A,28.60614757,77.30558813,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.852Z,2023-10-19T09:20:13.852Z,0,Girls,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda785,1002025,"Trilokpuri, Block 20-SKV (Sharda Sen)",N/A,28.60477816,77.30644554,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.853Z,2023-10-19T09:20:13.853Z,0,Girls,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda787,1002026,Kondli-SKV (Jeeja Bai),N/A,28.61349559,77.32271686,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.854Z,2023-10-19T09:20:13.854Z,0,Girls,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda789,1002027,Dallupura-SKV,N/A,28.60834295,77.32069012,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.855Z,2023-10-19T09:20:13.855Z,0,Girls,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda78b,1002028,East Vinod Nagar-SKV (Ravindra Thakur),N/A,28.620469,77.305884,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.857Z,2023-10-19T09:20:13.857Z,0,Girls,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda78d,1002029,"Mayur Vihar, Phase II, Pkt.B-SKV (Annie Besant)",N/A,28.61775328,77.30333063,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.858Z,2023-10-19T09:20:13.858Z,0,Girls,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda78f,1002031,Patparganj-SKV,N/A,28.61390391,77.29128829,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.859Z,2023-10-19T09:20:13.859Z,0,Boys,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda791,1002032,West Vinod Nagar-SKV,N/A,28.62147524,77.29697454,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.860Z,2023-10-19T09:20:13.860Z,0,Co-ed,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda793,1002033,KalyanVas-SKV,N/A,28.61991814,77.30922876,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.861Z,2023-10-19T09:20:13.861Z,0,Boys,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda795,1002034,"Mayur Vihar, Phase I, Pkt.II-SKV (Janaki Devi) from Nursery to XII",N/A,28.60973482,77.30212191,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.863Z,2023-10-19T09:20:13.863Z,0,Co-ed,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda797,1002036,"Mayur Vihar, Phase I, Pkt.IV-SKV",N/A,28.60279122,77.29456431,Morning,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.865Z,2023-10-19T09:20:13.865Z,0,Girls,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda799,1002037,Khichripur-GGSSS,N/A,28.61803404,77.31468874,Morning,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.867Z,2023-10-19T09:20:13.867Z,0,Girls,Science,Yes,Delhi Board
6530f4cdbc3009aaa5bda79b,1002039,Kalyanpuri-GGSSS,N/A,28.61392864,77.31882586,Morning,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.868Z,2023-10-19T09:20:13.868Z,0,Girls,Vocational,Yes,Delhi Board
6530f4cdbc3009aaa5bda79d,1002175,"Trilokpuri, Block 27-GGSSS",N/A,28.60666802,77.30513146,Morning,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.870Z,2023-10-19T09:20:13.870Z,0,Girls,Art,Yes,Delhi Board
6530f4cdbc3009aaa5bda79f,1002177,"Trilokpuri, Block 27-SBV",N/A,28.60657674,77.30535893,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.873Z,2023-10-19T09:20:13.873Z,0,Boys,Commerce,Yes,Delhi Board
6530f4cdbc3009aaa5bda7a1,1002180,"West Vinod Nagar, Block E-G(Co-ed)SSS",N/A,28.62261682,77.29257104,General,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.875Z,2023-10-19T09:20:13.875Z,0,Co-ed,Science,Yes,Delhi Board
