textbook_id,textbook_name,medium,grade,subject,day_of_created_on,qr_coverage,qr_codes_linked_to_content,total_qr_codes
do_31304217231610675212097,Looking Around (Class 4),English,Class 4,Environmental Studies,13/06/2020,0,0,0
do_31304219214007500812942,Looking Around (Class 5),English,Class 5,Environmental Studies,13/06/2020,0,0,0
do_3136238367121408001227,MANTHAN- Integrated Work Book,English;Hindi,Class 5,English;Hindi;Mathematics,13/09/2022,0,2,2
do_3130484341220802561861,Marigold,English,Class 1,English,22/06/2020,0,0,0
do_31304210067587891212621,Marigold,English,Class 3,English,13/06/2020,0,0,0
do_31304215477785395211704,Marigold,English,Class 4,English,13/06/2020,0,0,0
do_3130294313320038401172,Marigold (Class 1; English; Delhi SCERT),English,Class 1,English,26/05/2020,0,0,0
do_31304219148600934412900,Marigold (Class 5),English,Class 5,English,13/06/2020,0,0,0
do_313025051535335424111327,Math Practice Book,English,Class 10,Mathematics,20/05/2020,0,0,0
do_313025060422328320111526,Math-Magic,English,Class 3,Mathematics,20/05/2020,0,0,0
do_313025061068791808111653,Math-Magic,English,Class 4,Mathematics,20/05/2020,0,0,0
do_313025061689901056111780,Math-Magic,English,Class 5,Mathematics,20/05/2020,0,0,0
do_3130250597492326401710,Math-Magic,English,Class 2,Mathematics,20/05/2020,0,0,0
do_313025047929487360111209,Math-Magic,English,Class 1,Mathematics,20/05/2020,0,0,0
do_3130250529381662721537,Mathematics (Class 11; Delhi SCERT),English,Class 11,Mathematics,20/05/2020,0,0,0
do_313025054581530624111407,Mathematics Part-I (Delhi SCERT; Class 12),English,Class 12,Mathematics,20/05/2020,0,0,0
do_313025055393521664111462,Mathematics Part-II (Class 12; Delhi SCERT),English,Class 12,Mathematics,20/05/2020,0,0,0
do_31304487268988518415268,Mathematics textbook for class X,English,Class 10,Mathematics,17/06/2020,100,16,16
do_31304320090955776013749,Moments (Class 9),English,Class 9,English,15/06/2020,0,0,0
do_31307308335976448011864,Online Classes for Class 12 (Core Academic Unit; DOE; Delhi),Hindi;English,Class 12,Biology;Geography;Economics;Chemistry;Sociology;Political Science;Accountancy;Mathematics;Psychology;Home Science;Physics;History;Business Studies,27/07/2020,0,0,0
do_31304278007829299212204,Our Environment (Class 7),English,Class 7,Geography,14/06/2020,0,0,0
do_31304270850133196812471,Our Pasts  I (Class 6),English,Class 6,History,14/06/2020,0,0,0
do_31304278075355136013260,Our Pasts II (Class 7),English,Class 7,History,14/06/2020,0,0,0
do_31304281251870310415320,Our Pasts III (Class 8),English,Class 8,History,14/06/2020,0,0,0
do_31304207144075264012286,Raindrop,English,Class 2,English,13/06/2020,0,0,0
do_31304206160615833611846,Raindrop,English,Class 1,English,13/06/2020,0,0,0
do_31304209931390976011454,Raindrop-II,English,Class 2,English,13/06/2020,0,0,0
do_31304281048071372815135,Resources And Development,English,Class 8,Geography,14/06/2020,0,0,0
do_31307576148294860817172,Samarth Booklet for Children with Special Needs (CWSN),English,Class 4;Class 3;Class 1;Class 2;Class 6;Class 5,General Awareness,31/07/2020,0,0,0
do_3136238312781660161284,SANGAM- Integrated Work Book,English;Hindi,Class 4,English;Hindi;Mathematics,13/09/2022,100,2,2
do_31270727687632486412449,Science,English,Class 10,Science,26/02/2019,100,5,5
do_31304273174555033612938,Science (Class 6),English,Class 6,Science,14/06/2020,0,0,0
do_31304327488725811212513,Science Practice Book (Class 10),English,Class 10,Science,15/06/2020,0,0,0
do_31304273078851174414028,Social And Political Life I  (Class 6),English,Class 6,Political Science,14/06/2020,0,0,0
do_31304278140331622413440,Social And Political Life II (Class 7),English,Class 7,Political Science,14/06/2020,0,0,0
do_31304287366519193613427,Social And Political Life III (Class 8),English,Class 8,Political Science,14/06/2020,0,0,0
do_3136238284773130241220,TARANG- Integrated Work Book,English;Hindi,Class 3,English;Hindi;Mathematics,13/09/2022,100,2,2
do_31304270632348876811839,The Earth Our Habitat (Class 6),English,Class 6,Geography,14/06/2020,0,0,0
do_3136238197719695361214,UDGAM - Integrated Work Book,English;Hindi,Class 1,English;General Awareness;Hindi;Mathematics,13/09/2022,100,2,2
do_3136238252716851201217,UMANG- Integrated Work Book,English;Hindi,Class 2,English;Hindi,13/09/2022,100,2,2
do_31304322996168294416256,Understanding Economic Development (Class 10),English,Class 10,Economics,15/06/2020,0,0,0
do_31362298486185164812464,VIDYARAMBH,English,Others,CPD,12/09/2022,100,4,4
do_31304325073176985614122,Words and expressions -2 - Workbook in English (Class 10),English,Class 10,English,15/06/2020,0,0,0
do_31304320247443456012458,Words and Expressions I (Workbook for English Class IX),English,Class 9,English,15/06/2020,0,0,0
do_31304321857148518412615,अभ्यासवान् भव (Class 9),Sanskrit,Class 9,Sanskrit,15/06/2020,0,0,0
do_31304328696738611216621,अभ्यासवान् भव - 2 (Class 10),Sanskrit,Class 10,Sanskrit,15/06/2020,0,0,0
do_31304321125624217615696,अर्थशास्त्र (Class 9),Hindi,Class 9,Economics,15/06/2020,0,0,0
do_31304327604417331213615,आर्थिक विकास की समझ (Class 10),Hindi,Class 10,Economics,15/06/2020,0,0,0
do_31304210347310284812057,आस-पास,Hindi,Class 3,Environmental Studies,13/06/2020,0,0,0
do_31304267495138099212391,आस-पास,Hindi,Class 5,Environmental Studies,14/06/2020,0,0,0
do_31304217570607104012144,आस-पास (Class 4),Hindi,Class 4,Environmental Studies,13/06/2020,0,0,0
do_312785727717359616114306,एन्त्रप्रेन्योरशिप माइंडसेट,Hindi,Class 9;Class 10,Entrepreneurship Mindset Curriculum ,17/06/2019,100,22,22
do_312785815794335744114627,एन्त्रप्रेन्योरशिप माइंडसेट,Hindi,Class 11;Class 12,Entrepreneurship Mindset Curriculum ,17/06/2019,100,21,21
do_3129670041587712001235,एन्त्रप्रेन्योरशिप माइंडसेट अवयव,English;Hindi,Class 9;Class 10;Class 11;Class 12,Entrepreneurship Mindset Curriculum ,28/02/2020,77.7777777777778,9,9
do_3129655241080913921223,कक्षा 10 - एन्त्रप्रेन्योरशिप माइंडसेट,English;Hindi,Class 10,Entrepreneurship Mindset Curriculum ,26/02/2020,100,7,7
do_312966258516516864191,कक्षा 11 - एन्त्रप्रेन्योरशिप माइंडसेट,English;Hindi,Class 11,Entrepreneurship Mindset Curriculum ,27/02/2020,100,8,8
do_3129668531452067841125,कक्षा 12 - एन्त्रप्रेन्योरशिप माइंडसेट,Hindi;English,Class 12,Entrepreneurship Mindset Curriculum ,28/02/2020,83.3333333333333,6,6
do_3129654922461265921248,कक्षा 9 - एन्त्रप्रेन्योरशिप माइंडसेट,Hindi,Class 9,Entrepreneurship Mindset Curriculum ,26/02/2020,90,10,10
do_31304321453259980814053,कृतिका भाग -1;कोर्स  - अ (Class 9),Hindi,Class 9,Hindi,15/06/2020,0,0,0
do_31304327777782169614378,कृतिका भाग -2;कोर्स  -अ (Class 10),Hindi,Class 10,Hindi,15/06/2020,0,0,0
